sale_date,store_id,revenue,rev_7d
2025-07-01,1,20740.0,20740.0
2025-07-02,1,20740.0,41480.0
2025-07-03,1,20740.0,62220.0
2025-07-04,1,20740.0,82960.0
2025-07-05,1,28792.0,111752.0
2025-07-06,1,28792.0,140544.0
2025-07-07,1,18341.0,158885.0
2025-07-08,1,20740.0,158885.0
2025-07-09,1,20740.0,158885.0
2025-07-10,1,20740.0,158885.0
2025-07-11,1,20740.0,158885.0
2025-07-12,1,28792.0,158885.0
2025-07-13,1,28792.0,158885.0
2025-07-14,1,18341.0,158885.0
2025-07-15,1,20740.0,158885.0
2025-07-16,1,20740.0,158885.0
2025-07-17,1,20740.0,158885.0
2025-07-18,1,20740.0,158885.0
2025-07-19,1,28792.0,158885.0
2025-07-20,1,28792.0,158885.0
2025-07-21,1,18341.0,158885.0
2025-07-22,1,20740.0,158885.0
2025-07-23,1,20740.0,158885.0
2025-07-24,1,20740.0,158885.0
2025-07-25,1,20740.0,158885.0
2025-07-26,1,28792.0,158885.0
2025-07-27,1,28792.0,158885.0
2025-07-28,1,18341.0,158885.0
2025-07-29,1,20740.0,158885.0
2025-07-30,1,20740.0,158885.0
2025-07-01,2,16714.0,16714.0
2025-07-02,2,16714.0,33428.0
2025-07-03,2,16714.0,50142.0
2025-07-04,2,16714.0,66856.0
2025-07-05,2,24766.0,91622.0
2025-07-06,2,24766.0,116388.0
2025-07-07,2,14315.0,130703.0
2025-07-08,2,16714.0,130703.0
2025-07-09,2,16714.0,130703.0
2025-07-10,2,16714.0,130703.0
2025-07-11,2,16714.0,130703.0
2025-07-12,2,24766.0,130703.0
2025-07-13,2,24766.0,130703.0
2025-07-14,2,14315.0,130703.0
2025-07-15,2,16714.0,130703.0
2025-07-16,2,16714.0,130703.0
2025-07-17,2,16714.0,130703.0
2025-07-18,2,16714.0,130703.0
2025-07-19,2,24766.0,130703.0
2025-07-20,2,24766.0,130703.0
2025-07-21,2,14315.0,130703.0
2025-07-22,2,16714.0,130703.0
2025-07-23,2,16714.0,130703.0
2025-07-24,2,16714.0,130703.0
2025-07-25,2,16714.0,130703.0
2025-07-26,2,24766.0,130703.0
2025-07-27,2,24766.0,130703.0
2025-07-28,2,14315.0,130703.0
2025-07-29,2,16714.0,130703.0
2025-07-30,2,16714.0,130703.0
2025-07-01,3,16714.0,16714.0
2025-07-02,3,16714.0,33428.0
2025-07-03,3,16714.0,50142.0
2025-07-04,3,16714.0,66856.0
2025-07-05,3,24766.0,91622.0
2025-07-06,3,24766.0,116388.0
2025-07-07,3,14315.0,130703.0
2025-07-08,3,16714.0,130703.0
2025-07-09,3,16714.0,130703.0
2025-07-10,3,16714.0,130703.0
2025-07-11,3,16714.0,130703.0
2025-07-12,3,24766.0,130703.0
2025-07-13,3,24766.0,130703.0
2025-07-14,3,14315.0,130703.0
2025-07-15,3,16714.0,130703.0
2025-07-16,3,16714.0,130703.0
2025-07-17,3,16714.0,130703.0
2025-07-18,3,16714.0,130703.0
2025-07-19,3,24766.0,130703.0
2025-07-20,3,24766.0,130703.0
2025-07-21,3,14315.0,130703.0
2025-07-22,3,16714.0,130703.0
2025-07-23,3,16714.0,130703.0
2025-07-24,3,16714.0,130703.0
2025-07-25,3,16714.0,130703.0
2025-07-26,3,24766.0,130703.0
2025-07-27,3,24766.0,130703.0
2025-07-28,3,14315.0,130703.0
2025-07-29,3,16714.0,130703.0
2025-07-30,3,16714.0,130703.0
